     2.846     0.004     0.996     2.000
     1.559     0.501     0.499     1.000
     2.366     0.029     0.971     2.000
     1.656     0.396     0.604     2.000
     0.108     0.998     0.002     1.000
     1.699     0.353     0.647     2.000
     1.774     0.282     0.718     2.000
     2.347     0.031     0.969     2.000
     2.900     0.003     0.997     2.000
     0.134     0.998     0.002     1.000
     1.870     0.205     0.795     2.000
     0.876     0.952     0.048     1.000
     1.646     0.407     0.593     2.000
     3.540     0.000     1.000     2.000
     2.061     0.101     0.899     2.000
     1.025     0.911     0.089     1.000
     2.686     0.007     0.993     2.000
     1.429     0.639     0.361     1.000
     2.378     0.027     0.973     2.000
     2.375     0.028     0.972     2.000
     0.194     0.997     0.003     1.000
     3.806     0.000     1.000     2.000
     2.611     0.010     0.990     2.000
     2.547     0.013     0.987     2.000
    -0.858     1.000     0.000     1.000
     1.096     0.883     0.117     1.000
     0.449     0.992     0.008     1.000
     1.328     0.733     0.267     1.000
     1.850     0.220     0.780     2.000
     2.072     0.097     0.903     2.000
     2.199     0.058     0.942     2.000
     1.997     0.129     0.871     2.000
     0.124     0.998     0.002     1.000
     2.601     0.011     0.989     2.000
     1.621     0.433     0.567     2.000
     1.041     0.905     0.095     1.000
     1.828     0.236     0.764     2.000
     0.700     0.977     0.023     1.000
     2.030     0.114     0.886     2.000
     2.927     0.003     0.997     2.000
     0.417     0.993     0.007     1.000
     2.549     0.013     0.987     2.000
     0.846     0.957     0.043     1.000
    -0.150     0.999     0.001     1.000
     2.308     0.037     0.963     2.000
     2.106     0.084     0.916     2.000
     1.067     0.895     0.105     1.000
     0.405     0.994     0.006     1.000
     1.165     0.848     0.152     1.000
